5.3986 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
147356.0993 	EXP 	baseLine
147357.5033 	EXP 	baseLine
147358.9076 	EXP 	baseLine
147360.3116 	EXP 	baseLine
147361.7197 	EXP 	baseLine
147363.1303 	EXP 	target
147364.5342 	EXP 	target
147365.9400 	EXP 	baseLine
147367.3430 	EXP 	baseLine
147368.7506 	EXP 	baseLine
147370.1552 	EXP 	baseLine
147371.5621 	EXP 	target
147372.9663 	EXP 	baseLine
147374.3701 	EXP 	distractor
147375.7760 	EXP 	baseLine
147377.1842 	EXP 	baseLine
147378.5900 	EXP 	baseLine
147379.9961 	EXP 	baseLine
147381.3993 	EXP 	distractor
147382.8065 	EXP 	baseLine
147384.2108 	EXP 	baseLine
147385.6152 	EXP 	baseLine
147394.6908 	DATA 	Keypress: space
147394.6928 	EXP 	startBlock
147394.7105 	EXP 	baseLine
147396.1146 	EXP 	baseLine
147397.5179 	EXP 	target
147398.9240 	EXP 	distractor
147400.3301 	EXP 	target
147401.7395 	EXP 	baseLine
147403.1453 	EXP 	baseLine
147404.5489 	EXP 	distractor
147405.9528 	EXP 	distractor
147407.3567 	EXP 	distractor
147408.7637 	EXP 	distractor
147410.1684 	EXP 	baseLine
147411.5742 	EXP 	baseLine
147412.9810 	EXP 	baseLine
147414.3850 	EXP 	baseLine
147415.7891 	EXP 	distractor
147417.1919 	EXP 	baseLine
147418.5957 	EXP 	baseLine
147420.0029 	EXP 	baseLine
147421.4065 	EXP 	baseLine
147422.8117 	EXP 	baseLine
147424.2139 	EXP 	baseLine
147425.6183 	EXP 	baseLine
147427.0225 	EXP 	baseLine
147428.4267 	EXP 	baseLine
147429.8306 	EXP 	baseLine
147431.2373 	EXP 	baseLine
147432.6412 	EXP 	baseLine
147434.0447 	EXP 	target
147435.4544 	EXP 	baseLine
147436.8609 	EXP 	baseLine
147438.2661 	EXP 	distractor
147439.6704 	EXP 	target
147441.0753 	EXP 	baseLine
147442.4811 	EXP 	target
147443.8853 	EXP 	baseLine
147445.2886 	EXP 	baseLine
147446.6956 	EXP 	target
147448.1039 	EXP 	baseLine
147449.5082 	EXP 	baseLine
147450.9131 	EXP 	baseLine
147452.3194 	EXP 	target
147453.7248 	EXP 	baseLine
147455.1304 	EXP 	baseLine
147456.5347 	EXP 	target
147457.9423 	EXP 	baseLine
147459.3471 	EXP 	target
147460.7523 	EXP 	target
147462.1561 	EXP 	distractor
147463.5586 	EXP 	baseLine
147464.9623 	EXP 	baseLine
147466.3673 	EXP 	baseLine
147467.7749 	EXP 	baseLine
147469.1811 	EXP 	baseLine
147470.5894 	EXP 	baseLine
147471.9942 	EXP 	baseLine
147473.4010 	EXP 	baseLine
147474.8110 	EXP 	baseLine
147476.2149 	EXP 	baseLine
147477.6222 	EXP 	baseLine
147479.0285 	EXP 	baseLine
147480.4332 	EXP 	baseLine
147481.8391 	EXP 	baseLine
147483.2431 	EXP 	distractor
147484.6462 	EXP 	baseLine
147486.0503 	EXP 	baseLine
147487.4532 	EXP 	baseLine
147488.8608 	EXP 	baseLine
147490.2642 	EXP 	baseLine
147491.6699 	EXP 	baseLine
147493.0745 	EXP 	baseLine
147494.4789 	EXP 	baseLine
147495.8892 	EXP 	baseLine
147497.2942 	EXP 	baseLine
147498.7001 	EXP 	baseLine
147500.1047 	EXP 	target
147501.5087 	EXP 	baseLine
147502.9180 	EXP 	baseLine
147504.3222 	EXP 	baseLine
147505.7244 	EXP 	baseLine
147507.1288 	EXP 	baseLine
147508.5323 	EXP 	baseLine
147509.9368 	EXP 	baseLine
147511.3427 	EXP 	target
147512.7484 	EXP 	baseLine
147514.1528 	EXP 	target
147515.5573 	EXP 	baseLine
147516.9616 	EXP 	baseLine
147518.3663 	EXP 	baseLine
147519.7713 	EXP 	baseLine
147521.1767 	EXP 	distractor
147522.5814 	EXP 	baseLine
147523.9858 	EXP 	baseLine
147525.3895 	EXP 	baseLine
147526.7984 	EXP 	distractor
147528.2045 	EXP 	target
147529.6090 	EXP 	distractor
147531.0144 	EXP 	baseLine
147532.4182 	EXP 	distractor
147533.8227 	EXP 	baseLine
147535.2280 	EXP 	baseLine
147536.6312 	EXP 	baseLine
147538.0340 	EXP 	target
147539.4383 	EXP 	baseLine
147540.8428 	EXP 	baseLine
147542.2474 	EXP 	target
147543.6507 	EXP 	target
147545.0549 	EXP 	distractor
147546.4602 	EXP 	baseLine
147547.8686 	EXP 	baseLine
147549.2742 	EXP 	baseLine
147550.6793 	EXP 	target
147552.0860 	EXP 	baseLine
147553.4916 	EXP 	baseLine
147554.8962 	EXP 	baseLine
147556.3006 	EXP 	target
147557.7055 	EXP 	baseLine
147559.1103 	EXP 	baseLine
147560.5157 	EXP 	target
147561.9215 	EXP 	baseLine
147563.3267 	EXP 	baseLine
147564.7311 	EXP 	baseLine
147566.1351 	EXP 	baseLine
147567.5394 	EXP 	baseLine
147568.9460 	EXP 	baseLine
147570.3523 	EXP 	baseLine
147571.7571 	EXP 	target
147573.1651 	EXP 	baseLine
147574.5698 	EXP 	baseLine
147575.9747 	EXP 	target
147577.3799 	EXP 	baseLine
147578.7824 	EXP 	baseLine
147580.1874 	EXP 	baseLine
147581.5933 	EXP 	baseLine
