index,timeStamp,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16
5838,778692.1019779,-179683.265625,-188666.421875,-115182.6484375,-198579.15625,-182628.59375,-193734.90625,-194992.859375,-179728.671875,-195182.578125,-150584.5,-169274.234375,339559.65625,-187187.71875,0.0,0.0,0.0
5839,778692.1019978,-180074.5,-188705.671875,-115897.8203125,-198523.90625,-182671.6875,-193748.40625,-194897.375,-180047.0625,-195175.171875,-146913.453125,-169277.8125,340125.0625,-187177.703125,0.0,0.0,0.0
5840,778692.1409745,-179833.90625,-188673.84375,-115616.8984375,-198564.21875,-182635.828125,-193725.96875,-194965.765625,-179866.09375,-195240.796875,-152721.953125,-169256.078125,339291.34375,-187134.96875,0.0,0.0,0.0
5841,778692.1410073,-179845.359375,-188695.9375,-115356.1015625,-198564.21875,-182652.015625,-193748.140625,-194963.53125,-179850.359375,-195164.875,-147133.390625,-169304.8125,340097.34375,-187219.90625,0.0,0.0,0.0
5842,778692.1410233,-180119.828125,-188705.9375,-116120.53125,-198518.625,-182661.234375,-193727.3125,-194884.59375,-180112.328125,-195224.703125,-149838.765625,-169253.125,339751.78125,-187137.296875,0.0,0.0,0.0
5843,778692.1410387,-179683.4375,-188679.125,-115126.4140625,-198582.28125,-182622.515625,-193730.703125,-194993.3125,-179732.609375,-195192.59375,-150604.171875,-169282.359375,339640.9375,-187195.5,0.0,0.0,0.0
5844,778692.1410537,-180069.234375,-188722.75,-115822.265625,-198526.234375,-182668.203125,-193744.65625,-194899.25,-180056.359375,-195191.890625,-146912.390625,-169295.6875,340199.0,-187193.890625,0.0,0.0,0.0
5845,778692.1813936,-179817.1875,-188676.265625,-115508.984375,-198555.546875,-182627.96875,-193714.796875,-194957.640625,-179869.859375,-195235.25,-152690.84375,-169248.390625,339381.5625,-187131.84375,0.0,0.0,0.0
5846,778692.1814779,-179830.609375,-188695.9375,-115225.65625,-198559.578125,-182653.09375,-193747.25,-194962.46875,-179843.75,-195161.84375,-147090.21875,-169298.640625,340188.8125,-187224.109375,0.0,0.0,0.0
5847,778692.1815016,-180105.4375,-188694.40625,-115984.2734375,-198497.171875,-182651.484375,-193713.1875,-194873.421875,-180099.265625,-195215.21875,-149757.3125,-169244.546875,339855.6875,-187132.109375,0.0,0.0,0.0
